Key	Company	Position	Location	Category	Experience_Level	Salary
88e9d06f50c1e701	Disney	Sr Software Engineer, Genie	Lake Buena Vista, FL	SE	MID_LEVEL	
949a21b2e3fa257a	Saucon Technologies, Inc.	Android Software Engineer	Bethlehem, PA 18020	SE	MID_LEVEL	
379c9be622156b73	ViaOne Services	Communications Systems Full Stack Software Developer (Sponsorship Unavailable at this Time)	Hybrid remote in Dallas, TX 75234	SE	MID_LEVEL	
980bd32dc3d3335c	SCIGON Solution	Software Development Engineer-Backend (Java, Remote, No C2C Vendor)	Remote	SE	MID_LEVEL	
591ac7801463de0a	Amazon.com Services LLC	Embedded Software Engineer, Ring System Engineering	Hawthorne, CA 90250 (North Hawthorne area)	SE	MID_LEVEL	From $115,000 a year
d667d9c22e0bec32	Spectrum	Senior Software Engineer	Hybrid remote in Greenwood Village, CO 80111	SE	MID_LEVEL	
407d8547bd6db668	Top Notch Distributors Inc	Application Developer II	Mansfield, MA 02048	SE	MID_LEVEL	$85,000 - $120,000 a year
bf8213ac47fe040e	Quevera LLC	TTO 16 Software Engineer 0175-03-16	Annapolis Junction, MD 20701	SE	MID_LEVEL	
77f6acabab3bf472	GM Financial	Software Development Engineer III	Fort Worth, TX	SE	MID_LEVEL	$97,500 - $185,400 a year
65737a97ea2e8dae	GeoControl Systems, Inc.	Software Requirements Development Engineer - ESSCA	Huntsville, AL 35812	SE	MID_LEVEL	
ed7c493dc3a77348	Microsoft	Software Engineer II - CTJ - TS	Redmond, WA 98052 (Overlake area)	SE	MID_LEVEL	$94,300 - $182,600 a year
d2787cb83504cbbb	JPMorgan Chase & Co	Software Engineer III with Java and React	Wilmington, DE 19803	SE	MID_LEVEL	
181b836c8ed6c0a0	HP	Software Quality Assurance Engineer	Palo Alto, CA 94304	SE	MID_LEVEL	$92,000 - $132,000 a year
ac521543d5d5341e	Humana	Senior Software Engineer Varicent ICM	Remote in Mississippi	SE	MID_LEVEL	
49815c080181ae5b	Humana	Senior Software Engineer Varicent ICM	Remote in Missouri	SE	MID_LEVEL	
91ccf85c16a936e5	Humana	Senior Software Engineer Varicent ICM	Remote in Louisiana	SE	MID_LEVEL	
a65a0b3744c78310	Amazon Web Services, Inc.	Software Development Engineer	Seattle, WA	SE	MID_LEVEL	From $115,000 a year
3a0ee289cddf327f	Booz Allen Hamilton	Full Stack Developer	Remote in Fayetteville, NC	SE	MID_LEVEL	$58,300 - $133,000 a year
f26ef60c5a4bfea8	SpanIdea Systems	Embedded Software Engineer	Fremont, CA 94536 (Glenmoor area)	SE	MID_LEVEL	$60 - $82 an hour
