Key	Company	Position	Location	Category	Experience_Level	Salary
61c883cc98f48481	DOGA	ENGINEER	Huntley, IL 60142	ME	ENTRY_LEVEL	Estimated $61.8K - $78.3K a year
6a483e25e20fa8f2	QuEST Global Engineering	Project Engineer	Hybrid remote in Phoenix, AZ 85029	ME	ENTRY_LEVEL	$60,000 - $80,000 a year
b5813d4be892af3a	Page Southerland Page, Inc.	Mechanical Designer	Albany, NY 12203 (Campus Area (University District) area)	ME	ENTRY_LEVEL	$60,000 - $95,000 a year
a64645e44a2d6118	EMCOR Services Mesa Energy	Junior Automation Technician	San Diego, CA	ME	ENTRY_LEVEL	$25 - $35 an hour
3ee93b6c7e8af9d4	Schuette Metals Inc	Weld Engineer	Rothschild, WI 54474	ME	ENTRY_LEVEL	Estimated $61.2K - $77.4K a year
623a93694bd89705	Emcor	Junior Automation Technician	San Diego, CA	ME	ENTRY_LEVEL	$25 - $35 an hour
035769ec194faca0	Kimberly-Clark	Lead Mechanical Engineer	Beech Island, SC	ME	ENTRY_LEVEL	Estimated $98.8K - $125K a year
6f2c0d76c2ebcab2	Vastek Inc.	Mechanical Engineer	Ohio, IL 61349	ME	ENTRY_LEVEL	$28 - $30 an hour
2823b257927f34d2	infosoft	Manufacturing Engineer 1 - 4435	Charlotte, NC 28273 (Olde Whitehall area)	ME	ENTRY_LEVEL	$28 - $33 an hour
8f855b666bb4206d	Intellihot Inc	MECHANICAL SYSTEMS ENGINEER	Vernon Hills, IL 60061	ME	ENTRY_LEVEL	Estimated $75.4K - $95.4K a year
61b4fd3580292d1c	SEAKR Engineering	Mechanical Engineer III	Englewood, CO 80111	ME	ENTRY_LEVEL	$85,000 - $115,000 a year
0999d289899ad594	Kutz Fabricating	Mechanical Engineer I - Entry Level	Pittsburgh, PA 15204 (Wind Gap area)	ME	ENTRY_LEVEL	$55,000 - $65,000 a year
0958b337db531864	The O'Connor Group Michigan	Automation Controls Engineer	Farmington Hills, MI	ME	ENTRY_LEVEL	$105,000 - $115,000 a year
5d9f0d33a7b1035b	ConMet	Packaging Engineer	Canton, NC 28716	ME	ENTRY_LEVEL	Estimated $77.1K - $97.7K a year
170a4f735aec8671	Meissner	Field Applications Specialist	Remote	ME	ENTRY_LEVEL	Estimated $64.5K - $81.7K a year
b6c774c3dd296e89	Steel Warehouse Cleveland LLC	Process Engineer	Cleveland, OH 44105 (South Broadway area)	ME	ENTRY_LEVEL	$75,000 - $120,000 a year
