Key	Company	Position	Location	Category	Experience_Level	Salary
fe476b08327fb425	Inalfa Roof Systems	Warranty Engineer	Acworth, GA	FEA	ENTRY_LEVEL	Estimated $72.4K - $91.7K a year
a85ef37f954e370c	CDI Engineering Solutions LLC	PIPE STRESS ENGINEER	Baton Rouge, LA 70809 (Westminster area)	FEA	ENTRY_LEVEL	Estimated $76.4K - $96.8K a year
3ec2a97c4c2e24ff	Chart Industries	Product Engineer	La Crosse, WI 54601	FEA	ENTRY_LEVEL	$60,000 - $75,000 a year
4f2e7fef6a00ea8b	Triumph Group	Electronic Packaging Design Engineer	West Hartford, CT 06110	FEA	ENTRY_LEVEL	
a9582e52579c7172	RedViking	Mechanical Engineer - SolidWorks	Plymouth, MI 48170	FEA	ENTRY_LEVEL	Estimated $66.4K - $84.1K a year
42d2e532a4b8cb00	Quest Global	Structural (Stress/FEA) Aero Engineer Team Leader	Indianapolis, IN 46225	FEA	ENTRY_LEVEL	Estimated $66.8K - $84.6K a year
6577d0b747143c49	Groe Advisors LLC	Mechanical Engineer	Sutton, MA 01590	FEA	ENTRY_LEVEL	$75,000 - $90,000 a year
fdf29a5d880d2afc	Apple	iPad Touch HW - Touch EE Engineer	Austin, TX	FEA	ENTRY_LEVEL	
b4914b546ce8ec2a	Trelleborg Sealing Solutions US Inc	Aerospace Product Engineer	Fort Wayne, IN 46803 (East Side area)	FEA	ENTRY_LEVEL	Estimated $63.7K - $80.6K a year
bc5b8d7fedd9f1d2	Blue Origin, LLC	Loads & Dynamics Engineer, Early Career (R37786)	Los Angeles, CA	FEA	ENTRY_LEVEL	Estimated $101K - $128K a year
c898353ff964c8e7	Apple	iPad Touch HW - Touch EE Engineer	Cupertino, CA	FEA	ENTRY_LEVEL	
70ac2baaa734103d	Quest Global	Structural (Stress/FEA) Aero Engineer	Indianapolis, IN 46225	FEA	ENTRY_LEVEL	$65,000 - $80,000 a year
9179959df8aa1d71	Merrill Steel	Structural Steel Engineer	Schofield, WI 54476	FEA	ENTRY_LEVEL	$60,000 - $100,000 a year
532f787915749c9b	Field & Tung	structural engineer position	Washington, DC 20036 (Dupont Circle area)	FEA	ENTRY_LEVEL	$70,000 - $130,000 a year
b6018d4309447c74	Apple	Product Design FEA Engineer	Culver City, CA	FEA	ENTRY_LEVEL	
d57307884e8fb063	SpaceX	Mechanical Engineer (Starlink)	Bastrop, TX	FEA	ENTRY_LEVEL	$95,000 - $115,000 a year
e2f269525ae03186	American Plastics, LLC	Product Engineer	Findlay, OH 45840	FEA	ENTRY_LEVEL	Estimated $65.8K - $83.4K a year
5c9421263c118bad	HRL Laboratories	Materials Engineer Co-op – Magnetics, Electric Motors, and Lightweight Materials	Malibu, CA 90265	FEA	ENTRY_LEVEL	$22 - $40 an hour
