3ea75e585bbb89c8	NTT Global Data Centers Americas, Inc.	Mechanical Engineer L3	Sacramento, CA 94203 (Alkali Flat area)	ME	MID_LEVEL	$110,000 - $130,000 a year
ac53aec6d1aafc36	Caterpillar	Mechanical Design / Integration Engineer	Lafayette, IN 47905	ME	MID_LEVEL	Estimated $82.1K - $104K a year
423a6f5ceffa91e5	Siemens Energy	Mechanical Engineer	Orlando, FL 32817	ME	MID_LEVEL	Estimated $79.1K - $100K a year
cbdb09f84fc6dfb7	ASRC Federal Holding Company	O&M Mechanical Engineer	Cape Canaveral, FL	ME	MID_LEVEL	Estimated $82.3K - $104K a year
37159cabdaccaead	Chugach Government Solutions	MECHANICAL ENGINEER	Del Rio, TX	ME	MID_LEVEL	Estimated $95.3K - $121K a year
0887ecad25ac6f8a	Kinder Morgan	Pipeline Engineer	Birmingham, AL 35209	ME	MID_LEVEL	Estimated $81.1K - $103K a year
463e266287708214	Custom Products of Litchfield, Inc.	Capital Projects Engineer	Litchfield, MN 55355	ME	MID_LEVEL	$60,000 - $80,000 a year
254108263c71e7e3	Summit Polymers	Molding Engineer (Engineer In Training)	Mount Sterling, KY 40353	ME	MID_LEVEL	Estimated $40.6K - $51.3K a year
863873988efc1870	TekWisen Software Pvt. Ltd	Mechanical Design Engineer	Liberty, NC 27298	ME	MID_LEVEL	$55 - $57 an hour
5d94d2abfb56ff45	Olin	Production Engineer - Freeport, TX	Freeport, TX	ME	MID_LEVEL	Estimated $73.1K - $92.6K a year
31d3c3cf960fb0df	Direct Staff Inc.	Mechanical Project Engineer	Auburn Hills, MI	ME	MID_LEVEL	$45 - $50 an hour
3e1ddffc59612c72	Johns Manville	CFD Process Research Engineer	Littleton, CO 80127	ME	MID_LEVEL	$81,400 - $112,000 a year
121b746139a1e407	Emprise Corporation	Marine Engineer	Chesapeake, VA 23320 (Greenbrier West area)	ME	MID_LEVEL	NA
a231eb0e15edaf81	Eclipse Automation	Applications Engineer	Rock Hill, SC	ME	MID_LEVEL	$85,000 - $110,000 a year
d2ca8ca174c3a450	Hexagon AB	Consulting Engineer III, Service	United States	ME	MID_LEVEL	$84,302 a year
7bbb157fa6730bd3	GE Appliances	Principal Tooling Engineer	Louisville, KY	ME	MID_LEVEL	NA
94a70cc4f1125158	Form Energy, Inc	Staff Manufacturing Engineer, Thermal Processing Equipment	Pittsburgh, PA	ME	MID_LEVEL	Estimated $113K - $143K a year
1cadacab318a5978	Mannarino Systems & Software Inc	System Test Engineer	Saint-Laurent, QC H4M 2N6	ME	MID_LEVEL	NA
a4bbda69ac1308a2	Valcor Engineering	Stress Engineer	Springfield, NJ 07081	ME	MID_LEVEL	Estimated $81.7K - $103K a year
7bb1e5f7ff3526a1	SpaceX	Build Engineer (Starshield)	Redmond, WA (SE Redmond area)	ME	MID_LEVEL	$95,000 - $115,000 a year
0ad9734af2dd5b39	Quality Consulting Group, LLC	Manufacturing Engineer II	Municipio de Juncos, PR	ME	MID_LEVEL	Estimated $66.1K - $83.6K a year
8bd36cfd7f48dc03	GHT Limited Consulting Engineers	Mechanical Design Engineers	Arlington, VA	ME	MID_LEVEL	Estimated $63.9K - $81K a year
2ff782643b05fab9	COMPACT MEMBRANE SYSTEMS	Senior Mechanical Engineer	Hybrid remote in Wilmington, DE 19804	ME	MID_LEVEL	Estimated $86K - $109K a year
8a691b0af072054e	Acuity Brands	Manufacturing Engineer - Powder Coating	Crawfordsville, IN 47933	ME	MID_LEVEL	Estimated $74.2K - $93.9K a year
873727b724e94390	United Consulting Hub	Automation Engineer	Tampa, FL	ME	MID_LEVEL	$30.76 - $70.84 an hour
2da1ac1236e2963c	Techsara solutions Inc	Mechanical Engineer	Nashville, TN 37201 (Broadway area)	ME	MID_LEVEL	$77,000 - $125,000 a year
38b66ddc6c3e7fb8	Overhead Door Corporation	Mechanical Design Engineer	Salt Lake City, UT 84104	ME	MID_LEVEL	Estimated $70K - $88.7K a year
d770eb5161df55da	Albireo Energy	Design Engineer - HVAC Controls Systems	Poway, CA 92064	ME	MID_LEVEL	$65,000 - $100,000 a year
273de9d12722fd7b	Codex Brick Technology	Manufacturing Engineer	Charlotte, NC 28202 (Third Ward area)	ME	MID_LEVEL	$28 - $33 an hour
cb3dda2b4c12195b	TechTrueUP	Manufacturing Engineer	Charlotte, NC 28278 (Steele Creek area)	ME	MID_LEVEL	$25 - $30 an hour
e8c8ed76b7a3092a	TAS Energy Inc.	Manufacturing Engineer	Houston, TX 77021 (Southeast area)	ME	MID_LEVEL	$80,000 - $95,000 a year
12767b739791a97f	Dura Products	Manufacturing Sustaining Engineer	Arcadia, IN 46030	ME	MID_LEVEL	$70,000 - $80,000 a year
94af84b7c1a2faf4	ASSA ABLOY	Mechanical Engineer	Tulsa, OK	ME	MID_LEVEL	Estimated $81.7K - $103K a year
1eb49d120cc602ff	GHT Limited Consulting Engineers	Plumbing Design Engineer	Arlington, VA	ME	MID_LEVEL	Estimated $72.8K - $92.2K a year
8b1f54dca03e7078	Gardner Standard LLC	Manufacturing Engineer	Mequon, WI	ME	MID_LEVEL	$78,000 - $85,000 a year
74fa4dddd868b38f	Detroit Manufacturing Systems	Manufacturing Engineer	Detroit, MI 48223 (Schoolcraft-I96 area)	ME	MID_LEVEL	Estimated $74K - $93.7K a year
fbafe73201776d48	Harmar Mobility LLC	Product Development Engineer	Lake Winnebago, MO 64034	ME	MID_LEVEL	Estimated $70.8K - $89.6K a year
