Key	Company	Position	Location	Category	Experience_Level	Salary
6a9bba01070091e4	Affine	Full Stack Data Engineer	Houston, TX	DE	ENTRY_LEVEL	Estimated $120K - $152K a year
506fb5007acdbb08	Apple	Data Engineer - Apple Vision Pro	Cupertino, CA	DE	MID_LEVEL	NA
5ef3c9126b86b1b8	Apple	AIML - Sr ML Engineer, Data and ML Innovation	Cupertino, CA	DE	MID_LEVEL	
7faa92d73e6a6d82	HP	DataOS Data Engineer	Corvallis, OR 97330	DE	MID_LEVEL	Estimated $101K - $127K a year
4eabd4b5d779b3ef	Lifepoint Health Support Center	Data Engineer	Brentwood, TN	DE	MID_LEVEL	Estimated $80.2K - $102K a year
e320062edec3d501	CVS Health	Sr Data Engineer - Clinical Data Repository	Irving, TX	DE	MID_LEVEL	$90,000 - $196,000 a year
c6908074028a9d1e	AANSEACORE INC.	Big Data Engineer	Remote	DE	MID_LEVEL	
5aafa27524421c84	StoneX Group	Data Engineer	Chicago, IL 60604 (Loop area)	DE	MID_LEVEL	Estimated $112K - $142K a year
8119a135cc1f3b3c	Walmart	(USA) Software Engineer III, Data Ventures	Hybrid remote in Dallas, TX	DE	MID_LEVEL	
c75a52da0eecd21b	Endeavor Communications	Data Engineer	Indiana	DE	MID_LEVEL	Estimated $75.6K - $95.7K a year
70be52d21cd2ead3	Walmart	Staff, Data Engineer, API/ML Infrastructure (Store No. 8 | Health & Wellness)	San Bruno, CA 94066	DE	MID_LEVEL	$143,000 - $286,000 a year
6c381f36d657783a	Arjava Technologies Inc	GCP Big Data Engineer (Hybrid model, Austin TX)	Hybrid remote in Austin, TX 78758	DE	MID_LEVEL	$60 - $70 an hour
a36e4426a26ad110	Imagine One Technology & Management, Ltd.	Test Engineer, E-2D Data Link	Lexington Park, MD	DE	MID_LEVEL	
817666e3882ab692	Sofvio	AWS Data Engineer III	Remote in Silver Spring, MD	DE	MID_LEVEL	$120,000 - $165,000 a year
76076eedd7b50fd7	Amazon Data Services, Inc.	Software Development Engineer II, Network Data Services	Seattle, WA	DE	MID_LEVEL	From $115,000 a year
dc95d96da05ddc7b	Ascendion	Data Engineer	Hartford, CT	DE	MID_LEVEL	$60,000 - $65,000 a year
e70626b92e0b6150	ICR inc.	Data Scientist / Machine Learning Engineer	Aurora, CO 80016	DE	MID_LEVEL	$78,853 - $167,565 a year
712d57a9328450b1	Walmart	(USA) Staff, Data Engineer	Hybrid remote in Sunnyvale, CA 94086	DE	MID_LEVEL	$143,000 - $286,000 a year
3b78763d76e59c32	State of Montana	Data Engineer	Hybrid remote in Helena, MT 59601	DE	MID_LEVEL	$74,984 - $80,184 a year
5edb14ecf27a5452	Flexshopper Llc	Senior Data Engineer	Boca Raton, FL 33431	DE	MID_LEVEL	Estimated $104K - $132K a year
c7fa0d69103164b1	Amazon Kuiper Manufacturing Enterprises LLC	Data Engineer, Kuiper Operations Program Management	Redmond, WA	DE	MID_LEVEL	From $123,700 a year
a671dc8c8bdc563e	Millennium Corporation	Data Engineer III	Remote in United States	DE	MID_LEVEL	Estimated $102K - $129K a year
9315f95228cb0437	PRICE WATERHOUSE COOPERS	Labs-Data Engineer	Tampa, FL	DE	MID_LEVEL	Estimated $119K - $151K a year
4370f4f0827e8c87	iconectiv, LLC.	Data Architect/Systems Engineer	Bridgewater, NJ	DE	MID_LEVEL	Estimated $95K - $120K a year
60b4556cdb1803c4	Providence	Cloud Engineer II IS (BI and Data Platforms)	Irvine, CA 92604	DE	MID_LEVEL	
e529fea30d3eb396	CACI	NASA Orion Spacecraft Flight Software Data Systems Engineer	Houston, TX 77058 (Pasadena area)	DE	MID_LEVEL	
784540166084408c	Goodyear	Data Management Engineer - Post Cure Systems - Senior	Akron, OH	DE	MID_LEVEL	Estimated $125K - $158K a year
f396d4dec8be9e3c	Texas Capital Bank	Lead Data Platform Engineer	Dallas, TX	DE	MID_LEVEL	Estimated $130K - $165K a year
79ff72b3953c10c0	COMTEC INFORMATION SYSTEMS	Data and Integration Engineer	Remote	DE	MID_LEVEL	
0bd19dd18599256b	ASRC Federal Holding Company	Associate Data Engineer - ETL Developer (Hybrid)	Beltsville, MD 20705	DE	MID_LEVEL	Estimated $89.9K - $114K a year
61c0797db83951ad	Themis Insight	Software Data Engineer (Enterprise Infrastructure)	Laurel, MD	DE	MID_LEVEL	Estimated $134K - $170K a year
9a6acb09894ef6b6	iconectiv, LLC.	Data Architect/Systems Engineer	Bridgewater, NJ	DE	MID_LEVEL	Estimated $94K - $119K a year
a880bb5f4cdf74d0	Fast Enterprises	Systems Engineer- Backup and Data Protection Specialist	Centennial, CO	DE	MID_LEVEL	$95,000 - $110,000 a year
3275e806af17a694	iconectiv, LLC.	Data Architect/Systems Engineer - Job ID 2959	Bridgewater, NJ 08807	DE	MID_LEVEL	Estimated $95K - $120K a year
0ed001d4d81d9125	Google	Software Engineer III, Machine Learning, Google Cloud Data Management	Santa Cruz, CA	DE	MID_LEVEL	
bc7cf9232490ac15	Abile Group, Inc.	Data Center Engineer (Storage)	Annapolis Junction, MD	DE	MID_LEVEL	Estimated $124K - $157K a year
494ccc24d1b6cf9b	iconectiv, LLC.	Data Architect/Systems Engineer - Job ID 2958	Bridgewater, NJ 08807	DE	MID_LEVEL	Estimated $94K - $119K a year
f5763842a3e1938e	Prime Data Centers	Chief Engineer - Data Center Operations	Sacramento, CA	DE	MID_LEVEL	Estimated $98.3K - $124K a year
052c6eec2cb10c57	Raytheon	Systems Test Engineer II Data and Non-Data Tac Onsite	White Sands, NM	DE	MID_LEVEL	
fcfcc84ce9a66785	US Olympic & Paralympic Committee	Data Engineer	Colorado Springs, CO 80909 (East Colorado Springs area)	DE	MID_LEVEL	
288186cf796cd59d	Maxar Technologies	Data Engineer	Westminster, CO	DE	MID_LEVEL	$79,000 - $131,000 a year
2701137d44b86f4f	Effectv	Data Engineer 3	Philadelphia, PA 19103	DE	MID_LEVEL	$74,721.45 - $175,128.39 a year
7fe2af5c5ed8f7a6	The Swift Group	Data Engineer	Chantilly, VA	DE	MID_LEVEL	Estimated $117K - $148K a year
8f6976e16645b9c2	EXL Services	Google Cloud Data Engineer	Remote	DE	MID_LEVEL	
38c1f4265cdfe64b	Bank of America	Data Infrastructure Engineer	Plano, TX 75024	DE	MID_LEVEL	Estimated $73.9K - $93.6K a year
f55e52fd183f7f44	Infosys	Business Intelligence/Data Visualization Engineer	Sunnyvale, CA	DE	MID_LEVEL	
c7f451246313d460	Capgemini	Lead Data Engineer	Chicago, IL 60606 (The Loop area)	DE	SENIOR_LEVEL	Estimated $109K - $139K a year
7dcf49d57354a6d1	Apple	Silicon Validation Engineer, Data Converter	Cupertino, CA	DE	SENIOR_LEVEL	
ce1f46f848373291	Chick-fil-A, Inc.	Sr. Lead Data Engineer	Atlanta, GA 30349	DE	SENIOR_LEVEL	Estimated $122K - $154K a year
08d015ab75058222	CVS Health	Lead Data Engineer - Clinical Data Repository	Irving, TX	DE	SENIOR_LEVEL	$115,000 - $230,000 a year
fa2870ce2e008364	Envision, LLC	Sr. Data Engineer	Remote	DE	SENIOR_LEVEL	
1dc217afa6fe7dc4	Mars	Sr Data Engineer	Chicago, IL 60601 (Loop area)	DE	SENIOR_LEVEL	Estimated $116K - $147K a year
516dd2aa6f109033	Karna	Data Engineer	Remote	DE	SENIOR_LEVEL	Estimated $113K - $143K a year
0a60116be64016d2	Emergent Software	Senior Data Engineer	Remote	DE	SENIOR_LEVEL	
2ff60eb3f612c579	Apple	Database Engineer, IS Data Services	Cupertino, CA	DE	SENIOR_LEVEL	
5359d82ec5972194	Thermo Fisher Scientific	Sr Data Engineer	California	DE	SENIOR_LEVEL	Estimated $133K - $168K a year
1025d3ab419cd649	HII	Data Engineer 5 (Engineer Database 5) - 17166	Tampa, FL	DE	SENIOR_LEVEL	$127,273 - $175,000 a year
b8822fa876034665	Hensel Phelps	IT Senior Data Engineer	Greeley, CO 80631	DE	SENIOR_LEVEL	$80,000 - $105,000 a year
6637a6e20c4193dd	Meta	SiteOps Data Center Capacity Engineer	New Albany, OH 43054	DE	SENIOR_LEVEL	$104,998 - $153,005 a year
f80adbfdc9739692	Wipro Limited	Sr Data Engineer	Santa Clara, CA	DE	SENIOR_LEVEL	Estimated $109K - $138K a year
4de0887174f66c9f	Amazon.com Services LLC	Senior Data Engineer, SCOT AIM: Inventory Forecasting and Analytics	Bellevue, WA	DE	SENIOR_LEVEL	From $123,700 a year
bb169ff7bc4ad24a	Amazon Development Center U.S., Inc.	Sr. Business Intelligence Engineer, WHS Data	Bellevue, WA	DE	SENIOR_LEVEL	From $104,300 a year
580de2a7f8dca3ca	Amex	Senior Engineer - Data Analytics Solutions – Emerging Technologies	Phoenix, AZ	DE	SENIOR_LEVEL	$110,000 - $190,000 a year
f4acc70a0a4bb2d4	Fidelity Investments	Senior Data Engineer	Boston, MA 02210 (South Boston area)	DE	SENIOR_LEVEL	Estimated $102K - $129K a year
71446fbd9ec7ff1f	DUO2 LLC	Application Developer /Data engineer	Dallas, TX	DE	SENIOR_LEVEL	Estimated $101K - $128K a year
afa60ec7f188e7ec	Cognizant Technology Solutions	Senior Data Engineer/Lead	Columbus, OH 43081	DE	SENIOR_LEVEL	Estimated $113K - $144K a year
e149b91e63e35e7a	Clarkston Consulting	Senior Data Engineer	Hybrid remote in Minneapolis, MN	DE	SENIOR_LEVEL	Estimated $119K - $151K a year
94bc6882260c9e83	Gridiron IT	Software/Data Engineer	Chantilly, VA	DE	SENIOR_LEVEL	$130,000 - $250,000 a year
3675739a6c12e564	Starbucks	data engineer sr	Hybrid remote in Seattle, WA 98134	DE	SENIOR_LEVEL	$106,700 - $188,000 a year
b6a84858b32c7b68	HII	Data Engineer 5 (Engineer Database 5)	Tampa, FL	DE	SENIOR_LEVEL	$127,273 - $175,000 a year
b7a9cbbfd18e29dd	Hilton Grand Vacations	Senior Data Engineer - Remote	Orlando, FL	DE	SENIOR_LEVEL	Estimated $92.4K - $117K a year
254786dc47240a1e	Fidelity Investments	Senior Data Engineer (Informatica / Python)	Durham, NC 27709	DE	SENIOR_LEVEL	Estimated $88K - $111K a year
96f0060fa85ff857	T-Mobile	Sr. Data Engineer	Bellevue, WA 98006 (Factoria area)	DE	SENIOR_LEVEL	$136,600 - $184,900 a year
c2f39e3da9784474	Coupang	Senior Staff Data Engineer (Data Platform)	Seattle, WA 98101 (Denny Triangle area)	DE	SENIOR_LEVEL	From $170,100 a year
485dd93266efef68	CGI Group, Inc.	Sr. Python/AWS Data Engineer - Remote	Remote in Columbia, NC 27925	DE	SENIOR_LEVEL	Estimated $116K - $146K a year
b0b46dc3643866b3	Business Transformation Institute	BTI01 Sr. Software Engineer/Data Scientist	Columbia, MD 21044	DE	SENIOR_LEVEL	Estimated $158K - $201K a year
fa2ccc4570c8f4ac	Amazon Data Services, Inc.	Electrical Design Engineer, Data Center Design Engineering	Seattle, WA	DE	SENIOR_LEVEL	From $93,500 a year
f4925e31597a1564	Certec Consulting	Senior Data Solution and Delivery Engineer 1599	Brooklyn, NY	DE	SENIOR_LEVEL	
