count	employer_name	employer_url	category_code	category_code
4	IT & EBUSINESS CONSULTING SERVICES INC	/h1b-sponsors/it-and-ebusiness-consulting-services-inc-p1kzwzj9km	PJM
4	ROLAND BERGER LP	/h1b-sponsors/roland-berger-lp-ok854enzkd	PJM
4	INTERNATIONAL BUSINESS TECHNOLOGIES INC	/h1b-sponsors/international-business-technologies-inc-150no8ve2g	PJM
4	W G YATES AND SONS CONSTRUCTION CO	/h1b-sponsors/w-g-yates-and-sons-construction-co-r0v6439vk1	PJM
4	MAHAUGHA LLC	/h1b-sponsors/mahaugha-llc-50nrlm9e2g	PJM
4	EALEARN INC	/h1b-sponsors/ealearn-inc-150nwgep0g	PJM
4	TECH MAHINDRA TECHNOLOGIES INC	/h1b-sponsors/tech-mahindra-technologies-inc-dvk4zjgp0w	PJM
4	AKVARR INC	/h1b-sponsors/akvarr-inc-dvk419w6kw	PJM
4	ALTIMETRIK CORP	/h1b-sponsors/altimetrik-corp-n60ejoxlkz	PJM
3	ELEMICA INC	/h1b-sponsors/elemica-inc-em2mg46921	PJM
3	TECHNOLOGY VENTURES LLC	/h1b-sponsors/technology-ventures-llc-pg2781ymk5	PJM
3	ARCHSTONE BUILDERS LLC	/h1b-sponsors/archstone-builders-llc-g10158e627	PJM
3	VISA TECHNOLOGY & OPERATIONS LLC	/h1b-sponsors/visa-technology-and-operations-llc-vx23q97q0g	PJM
3	RELIABLE SOFTWARE RESOURCES	/h1b-sponsors/reliable-software-resources-x237en8xkg	PJM
3	BACHITECH CORPORATION	/h1b-sponsors/bachitech-corporation-510j197l0v	PJM
3	BUREAU VERITAS NORTH AMERICA INC	/h1b-sponsors/bureau-veritas-north-america-inc-p0l4314l2l	PJM
3	INCIPIENT CORP	/h1b-sponsors/incipient-corp-p1kz8p9jkm	PJM
3	NAVILLUS TILE INC	/h1b-sponsors/navillus-tile-inc-dvk4xvg62w	PJM
3	IBA CONSULTANTS WEST	/h1b-sponsors/iba-consultants-west-10j7rl450v	PJM
3	PRITHVI AMERICAS INC	/h1b-sponsors/prithvi-americas-inc-1ok8pz8o2d	PJM
3	ABN TECH CORPORATION	/h1b-sponsors/abn-tech-corporation-w2xprx8yk3	PJM
3	V SOFT CONSULTING GROUP INC	/h1b-sponsors/v-soft-consulting-group-inc-x30qy13gkq	PJM
3	FAR AI INC	/h1b-sponsors/far-ai-inc-g2r6yz1o2l	PJM
3	STIAOS TECHNOLOGIES INC	/h1b-sponsors/stiaos-technologies-inc-g2r668d32l	PJM
3	MEDLINE INDUSTRIES LP	/h1b-sponsors/medline-industries-lp-r0v641yjk1	PJM
3	JEAN MARTIN INC	/h1b-sponsors/jean-martin-inc-p0l43r5m2l	PJM
3	DECISION SIX INC	/h1b-sponsors/decision-six-inc-d0g9d5eqko	PJM
3	STANTEC CONSULTING SERVICES INC	/h1b-sponsors/stantec-consulting-services-inc-9k5npwq8k1	PJM
3	TECHNOLOGY HUB INC	/h1b-sponsors/technology-hub-inc-1kznvnmqkm	PJM
3	INTRAEDGE INC	/h1b-sponsors/intraedge-inc-150n9j7p2g	PJM
3	SCATTERFIT INC	/h1b-sponsors/scatterfit-inc-g0667oxy0q	PJM
3	FERMATA ENERGY LLC	/h1b-sponsors/fermata-energy-llc-1kznd8lqkm	PJM
3	MINDTREE LIMITED	/h1b-sponsors/mindtree-limited-150nrjyp2g	PJM
3	BURNS & MCDONNELL WESTERN ENTERPRISES INC	/h1b-sponsors/burns-and-mcdonnell-western-enterprises-inc-60d9gerxk8	PJM
3	CLARK CONSTRUCTION GROUP CA LP	/h1b-sponsors/clark-construction-group-ca-lp-rd0ggpxv0o	PJM
3	MERWEL INC	/h1b-sponsors/merwel-inc-30qjz3enkq	PJM
3	HALLMARK HEALTHCARE SOLUTIONS INC	/h1b-sponsors/hallmark-healthcare-solutions-inc-x237xld3kg	PJM
3	SEVEN SEAS INTERNATIONAL LLC	/h1b-sponsors/seven-seas-international-llc-70ojq17x2z	PJM
3	META PLATFORMS INC	/h1b-sponsors/meta-platforms-inc-w2xp7xj6k3	PJM
3	PCL CONSTRUCTION SERVICES INC	/h1b-sponsors/pcl-construction-services-inc-vk48nqyp0w	PJM
3	DEV SYSTEMS INC	/h1b-sponsors/dev-systems-inc-9k5nvxd6k1	PJM
3	KS SYSTEMS LLC	/h1b-sponsors/ks-systems-llc-w2xpmmz6k3	PJM
3	SOFTWARE ENTERPRISE LLC	/h1b-sponsors/software-enterprise-llc-nokpnl6904	PJM
3	THE PRINCIPAL CONSULTING INC	/h1b-sponsors/the-principal-consulting-inc-d1k99v6vkm	PJM
3	APPLE INC	/h1b-sponsors/apple-inc-6g06vq412q	PJM
3	CLOUD RESOURCES LLC	/h1b-sponsors/cloud-resources-llc-op0lx1zm0l	PJM
3	BALFOUR BEATTY CONSTRUCTION LLC	/h1b-sponsors/balfour-beatty-construction-llc-370oyy3v2z	PJM
3	ARCOMURRAY NATIONAL CONSTRUCTION COMPANY INC	/h1b-sponsors/arcomurray-national-construction-company-inc-d1k9g8o80m	PJM
3	TRIGINT SOLUTIONS LLC	/h1b-sponsors/trigint-solutions-llc-nokprmvy24	PJM
2	RENEE SYSTEMS INC	/h1b-sponsors/renee-systems-inc-g27rvyyp05	PJM
2	IMG SYSTEMS INC	/h1b-sponsors/img-systems-inc-d1k961zxkm	PJM
2	UNITED BUSINESS SOLUTIONS INC	/h1b-sponsors/united-business-solutions-inc-510jgpr50v	PJM
2	TECHNO COMP INC	/h1b-sponsors/techno-comp-inc-d1k9owpvkm	PJM
2	L&T TECHNOLOGY SERVICES LLC	/h1b-sponsors/l-and-t-technology-services-llc-4l0y3gl1kx	PJM
2	SURE MECHANICAL LLC	/h1b-sponsors/sure-mechanical-llc-w2xprgxmk3	PJM
2	CAST SOFTWARE INC	/h1b-sponsors/cast-software-inc-d1k9lljwkm	PJM
2	CHEETAH NET SUPPLY CHAIN SERVICE INC	/h1b-sponsors/cheetah-net-supply-chain-service-inc-82wrwmvok1	PJM
2	SHIVAM INFOTECH INC	/h1b-sponsors/shivam-infotech-inc-ew2xeqyn03	PJM
2	INTELLECTT INC	/h1b-sponsors/intellectt-inc-g0664oyp0q	PJM
2	HYPEX CO	/h1b-sponsors/hypex-co-g06673w10q	PJM
2	NEUTRONIT INC	/h1b-sponsors/neutronit-inc-8r0v4emj01	PJM
2	NANOSOFT TECHNOLOGIES INC	/h1b-sponsors/nanosoft-technologies-inc-150neo110g	PJM
2	SKILZMATRIX DIGITAL LLC	/h1b-sponsors/skilzmatrix-digital-llc-1k9no1dv2m	PJM
2	XTGLOBAL INC	/h1b-sponsors/xtglobal-inc-d1k9lm7xkm	PJM
2	2A USA INC	/h1b-sponsors/2a-usa-inc-p1kzqyxykm	PJM
2	DELOITTE CONSULTING LLP	/h1b-sponsors/deloitte-consulting-llp-150nv3y9kg	PJM
2	METCON INC	/h1b-sponsors/metcon-inc-x23775dnkg	PJM
2	BABATEK INC	/h1b-sponsors/babatek-inc-x30q9lq12q	PJM
2	PROARCH TECHNOLOGIES LLC	/h1b-sponsors/proarch-technologies-llc-l0yv9ezv0x	PJM
2	SPERIDIAN TECHNOLOGIES LLC	/h1b-sponsors/speridian-technologies-llc-n60ememkz5	PJM
2	KYYBA INC	/h1b-sponsors/kyyba-inc-em2m5789k1	PJM
2	V2C SOLUTIONS LLC	/h1b-sponsors/v2c-solutions-llc-101zj3vz27	PJM
2	SYRAINFOTEK LLC	/h1b-sponsors/syrainfotek-llc-1k9np7gw2m	PJM
2	LEADING CONSTRUCTION CORP	/h1b-sponsors/leading-construction-corp-ok85gqq3kd	PJM
2	WEBBER LLC	/h1b-sponsors/webber-llc-op0ledelkl	PJM
2	JORDON CONSTRUCTION COMPANY LLC	/h1b-sponsors/jordon-construction-company-llc-ok85r6nrkd	PJM
2	BIZANALYTICA LLC	/h1b-sponsors/bizanalytica-llc-l9k5r51d01	PJM
2	SVK TECHNOLOGY SOLUTIONS INC	/h1b-sponsors/svk-technology-solutions-inc-101zxzmv27	PJM
2	SUNSOFT SERVICES INC	/h1b-sponsors/sunsoft-services-inc-1ok8z83kdz	PJM
2	FAM CONSTRUCTION LLC	/h1b-sponsors/fam-construction-llc-5g2r7573kl	PJM
2	MOBILE APPS ENTERPRISES LLC	/h1b-sponsors/mobile-apps-enterprises-llc-g101lox8k7	PJM
2	MIDLAND GUARDIAN CO	/h1b-sponsors/midland-guardian-co-w2xpvnm6k3	PJM
2	GENESIS INFORMATION TECHNOLOGY & SERVICES LLC	/h1b-sponsors/genesis-information-technology-and-services-llc-60eqd5jm0z	PJM
2	AUTOLIV ASP INC	/h1b-sponsors/autoliv-asp-inc-vx23jpogkg	PJM
2	MANPOWERGROUP US INC	/h1b-sponsors/manpowergroup-us-inc-g0664nlp0q	PJM
2	CS ENERGY LLC	/h1b-sponsors/cs-energy-llc-101zd5rv27	PJM
2	LILLI TECHNOLOGY LLC	/h1b-sponsors/lilli-technology-llc-rd0g5jvv2o	PJM
2	ATOS IT SOLUTIONS AND SERVICES INC	/h1b-sponsors/atos-it-solutions-and-services-inc-vx234m83kg	PJM
2	DIGITAL BUILDING COMPONENTS LLC	/h1b-sponsors/digital-building-components-llc-r0v61qpgk1	PJM
2	SAVI TECHNOLOGIES INC	/h1b-sponsors/savi-technologies-inc-op0ly3gx2l	PJM
