job title,agency,department,location,salary,search_keyword
General Engineer - Direct Hire,Department of Transportation - Agency Wide,Department of Transportation,"Location Negotiable After Selection,","Starting at $46,696 Per Year (GS 07-09)",Data Engineer
MECHANICAL ENGINEER,Naval Sea Systems Command,Department of the Navy,Multiple Locations,"Starting at $46,696 Per Year (GS 7-9)",Data Engineer
ELECTRICAL ENGINEER,Naval Sea Systems Command,Department of the Navy,Multiple Locations,"Starting at $69,107 Per Year (GS 11-12)",Data Engineer
ELECTRICAL ENGINEER,Naval Sea Systems Command,Department of the Navy,Multiple Locations,"Starting at $52,106 Per Year (GS 7-9)",Data Engineer
Mechanical Engineer (Energy/Economic Analysis),Army Installation Management Command,Department of the Army,"Fort Sill, Oklahoma
                    Fort Sill, Oklahoma","Starting at $42,068 Per Year (GS 5-12)",Data Engineer
"Civil Engineer (Structural/Bridge Programs Engineer) - P/T, Temporary NTE 1 Year (Open to CTAP/ICTAP applicants only)",Federal Highway Administration,Department of Transportation,Anywhere in the U.S. (remote job),"Starting at $98,496 Per Year (GS 13)",Data Engineer
Civil Engineer,Bureau of Reclamation,Department of the Interior,"Glendale, Arizona
                    Glendale, Arizona","Starting at $98,859 Per Year (GS 11-12)",Data Engineer
TECHNICAL PROJECT MANAGER,Naval Sea Systems Command,Department of the Navy,"Corona, California
                    Corona, California","Starting at $114,044 Per Year (ND 5)",Data Engineer
Electronics Engineer,Bonneville Power Administration,Department of Energy,"Vancouver, Washington
                    Vancouver, Washington","Starting at $98,859 Per Year (GS 11-12)",Data Engineer
Electronics Engineer,Bonneville Power Administration,Department of Energy,"Vancouver, Washington
                    Vancouver, Washington","Starting at $98,859 Per Year (GS 11-12)",Data Engineer
MECHANICAL ENGINEER,Naval Sea Systems Command,Department of the Navy,Multiple Locations,"Starting at $69,107 Per Year (GS 11-12)",Data Engineer
SUPERVISORY GENERAL ENGINEER,STRATEGIC SYSTEMS PROGRAMS (SSP),Department of the Navy,"Pittsfield, Massachusetts
                    Pittsfield, Massachusetts","Starting at $119,340 Per Year (NH 4)",Data Engineer
Civil Engineer,Bureau of Reclamation,Department of the Interior,"Glendale, Arizona
                    Glendale, Arizona","Starting at $98,859 Per Year (GS 11-12)",Data Engineer
Civil Engineer (Structural/Bridge Safety Engineer) - Temporary NTE 1 Year (Open to CTAP/ICTAP applicants only),Federal Highway Administration,Department of Transportation,Anywhere in the U.S. (remote job),"Starting at $116,393 Per Year (GS 14)",Data Engineer
Supervisory Healthcare Engineer (Project Development),Veterans Health Administration,Department of Veterans Affairs,"Palo Alto, California
                    Palo Alto, California","Starting at $164,865 Per Year (GS 13)",Data Engineer
Electrical Engineer (Field) (RG),Bonneville Power Administration,Department of Energy,Multiple Locations,"Starting at $66,802 Per Year (GS 7-9)",Data Engineer
Electrical Engineer (Non-Field) (RG),Bonneville Power Administration,Department of Energy,Multiple Locations,"Starting at $66,802 Per Year (GS 7-9)",Data Engineer
Electronics Engineer (Field) (RG),Bonneville Power Administration,Department of Energy,Multiple Locations,"Starting at $66,802 Per Year (GS 7-9)",Data Engineer
Electronics Engineer (Non-Field) (RG),Bonneville Power Administration,Department of Energy,Multiple Locations,"Starting at $66,802 Per Year (GS 7-9)",Data Engineer
Electrical Engineer,Bonneville Power Administration,Department of Energy,"Vancouver, Washington
                    Vancouver, Washington","Starting at $121,180 Per Year (GS 13)",Data Engineer
COST ESTIMATOR/ANALYST (INTERDISCIPLINARY),STRATEGIC SYSTEMS PROGRAMS (SSP),Department of the Navy,"Washington Navy Yard, District of Columbia
                    Washington Navy Yard, District of Columbia","Starting at $94,199 Per Year (NH 3)",Data Engineer
Electrical Engineer,Bonneville Power Administration,Department of Energy,"Vancouver, Washington
                    Vancouver, Washington","Starting at $121,180 Per Year (GS 13)",Data Engineer
Engineer,Air Force Materiel Command,Department of the Air Force,Multiple Locations,"Starting at $52,106 Per Year (GS 7-9)",Data Engineer
ENGINEER/SCIENTIST,Naval Sea Systems Command,Department of the Navy,"Dahlgren, Virginia
                    Dahlgren, Virginia","Starting at $38,317 Per Year (ND 2-4)",Data Engineer
Supervisory Healthcare Engineer (Projects Engineer),Veterans Health Administration,Department of Veterans Affairs,Multiple Locations,"Starting at $115,118 Per Year (GS 13)",Data Engineer
