job title,agency,department,location,salary,search_keyword
Civil Engineer,Forest Service,Department of Agriculture,"Location Negotiable After Selection,","Starting at $98,496 Per Year (GS 13)",Civil Engineer
Civil Engineer,Forest Service,Department of Agriculture,Multiple Locations,"Starting at $57,118 Per Year (GS 9-11)",Civil Engineer
Civil Engineer,U.S. Army Corps of Engineers,Department of the Army,"West Palm Beach, Florida
                    West Palm Beach, Florida","Starting at $73,639 Per Year (GS 11-12)",Civil Engineer
Civil Engineer,U.S. Army Corps of Engineers,Department of the Army,"Pittsburgh, Pennsylvania
                    Pittsburgh, Pennsylvania","Starting at $71,402 Per Year (GS 11-12)",Civil Engineer
Civil Engineer - DIRECT HIRE,U.S. Army Corps of Engineers,Department of the Army,"Sacramento, California
                    Sacramento, California","Starting at $98,859 Per Year (GS 11-12)",Civil Engineer
Civil Engineer,U.S. Army Corps of Engineers,Department of the Army,"Rapid City, South Dakota
                    Rapid City, South Dakota","Starting at $66,802 Per Year (GS 7-9)",Civil Engineer
Civil Engineer,U.S. Army Corps of Engineers,Department of the Army,"Huntington, West Virginia
                    Huntington, West Virginia","Starting at $98,496 Per Year (GS 13)",Civil Engineer
Civil Engineer,Forest Service,Department of Agriculture,Multiple Locations,"Starting at $63,734 Per Year (GS 9-11)",Civil Engineer
Civil Engineer,Federal Emergency Management Agency,Department of Homeland Security,"Philadelphia, Pennsylvania
                    Philadelphia, Pennsylvania","Starting at $75,833 Per Year (GS 11-12)",Civil Engineer
CIVIL ENGINEER (T32),Air National Guard Units,Department of the Air Force,"Birmingham, Alabama
                    Birmingham, Alabama","Starting at $83,477 Per Year (GS 12)",Civil Engineer
Civil Engineer,U.S. Army Corps of Engineers,Department of the Army,"Memphis, Tennessee
                    Memphis, Tennessee","Starting at $52,106 Per Year (GS 7-12)",Civil Engineer
CIVIL (STRUCTURAL) ENGINEER,Pacific Air Forces,Department of the Air Force,"Yokota Air Base, Japan
                    Yokota Air Base, Japan","Starting at $73,469 Per Year (GS 12)",Civil Engineer
CIVIL ENGINEER (STRUCTURAL),U.S. Army Corps of Engineers,Department of the Army,"Little Rock, Arkansas
                    Little Rock, Arkansas","Starting at $92,928 Per Year (GS 11-12)",Civil Engineer
Civil Engineer/Agricultural Engineer,Natural Resources Conservation Service,Department of Agriculture,"Waynesville, North Carolina
                    Waynesville, North Carolina","Starting at $82,830 Per Year (GS 12)",Civil Engineer
Civil Engineer (Geo-Technical),U.S. Army Corps of Engineers,Department of the Army,"Norfolk, Virginia
                    Norfolk, Virginia","Starting at $52,106 Per Year (GS 7-12)",Civil Engineer
Civil Engineer (Geotechnical),U.S. Army Corps of Engineers,Department of the Army,Multiple Locations,"Starting at $82,830 Per Year (GS 12)",Civil Engineer
Civil Engineer (Geotechnical),U.S. Army Corps of Engineers,Department of the Army,Anywhere in the U.S. (remote job),"Starting at $82,830 Per Year (GS 12)",Civil Engineer
CIVIL ENGINEER,Naval Facilities Engineering Systems Command,Department of the Navy,"China Lake, California
                    China Lake, California","Starting at $80,015 Per Year (GS 11-12)",Civil Engineer
CIVIL ENGINEER,Naval Facilities Engineering Systems Command,Department of the Navy,"Naval Station Complex, San Diego, California
                    Naval Station Complex, San Diego, California","Starting at $93,858 Per Year (GS 12)",Civil Engineer
CIVIL ENGINEER,Naval Facilities Engineering Systems Command,Department of the Navy,Multiple Locations,"Starting at $83,854 Per Year (GS 12)",Civil Engineer
CIVIL ENGINEER,Naval Facilities Engineering Systems Command,Department of the Navy,"Naval Shipyard, Portsmouth, Virginia
                    Naval Shipyard, Portsmouth, Virginia","Starting at $83,854 Per Year (GS 12)",Civil Engineer
CIVIL ENGINEER,Naval Facilities Engineering Systems Command,Department of the Navy,"Little Creek Amphibious Base, Virginia
                    Little Creek Amphibious Base, Virginia","Starting at $83,854 Per Year (GS 12)",Civil Engineer
Civil Engineer,Federal Emergency Management Agency,Department of Homeland Security,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $132,368 Per Year (GS 14)",Civil Engineer
SUPERVISORY FACILITY/INFRASTRUCTURE ENGINEER - DIRECT HIRE AUTHORITY,Department of the Air Force - Agency Wide,Department of the Air Force,"Hanscom AFB, Massachusetts
                    Hanscom AFB, Massachusetts","Starting at $130,929 Per Year (NH 4)",Civil Engineer
Civil Engineer (Highway) Design - DIRECT HIRE,Federal Highway Administration,Department of Transportation,"Vancouver, Washington
                    Vancouver, Washington","Starting at $74,137 Per Year (GS 11-12)",Civil Engineer
