 Development 	66fd56c222f28911	PM	MID_LEVEL	Skill
 Collaboration 	66fd56c222f28911	PM	MID_LEVEL	Skill
 Communication 	66fd56c222f28911	PM	MID_LEVEL	Skill
 Development 	10c29ab4078df39c	PM	MID_LEVEL	Skill
 Agile 	10c29ab4078df39c	PM	MID_LEVEL	Skill
 Analytical Skills 	10c29ab4078df39c	PM	MID_LEVEL	Skill
 Software Development 	10c29ab4078df39c	PM	MID_LEVEL	Skill
 Teamwork 	10c29ab4078df39c	PM	MID_LEVEL	Skill
 Looker 	10c29ab4078df39c	PM	MID_LEVEL	Tool
 Development 	fc158c5bab064ec3	PM	MID_LEVEL	Skill
 Powerpoint 	fc158c5bab064ec3	PM	MID_LEVEL	Tool
 Excel 	fc158c5bab064ec3	PM	MID_LEVEL	Tool
 Collaboration 	47eae04187bd7d7d	PM	MID_LEVEL	Skill
 Product Strategy 	47eae04187bd7d7d	PM	MID_LEVEL	Skill
 Communication 	47eae04187bd7d7d	PM	MID_LEVEL	Skill
 Development 	7eab83589db8b87b	PM	MID_LEVEL	Skill
 Communication 	7eab83589db8b87b	PM	MID_LEVEL	Skill
 Leadership 	7eab83589db8b87b	PM	MID_LEVEL	Skill
 Machine Learning 	beeac6bc4567a9b4	PM	MID_LEVEL	Skill
 Go 	c30bbe1e4435d43a	PM	MID_LEVEL	Language
 Agile 	c30bbe1e4435d43a	PM	MID_LEVEL	Skill
 Development 	967ea6ca82ec5b25	PM	MID_LEVEL	Skill
 Agile 	967ea6ca82ec5b25	PM	MID_LEVEL	Skill
 Collaboration 	967ea6ca82ec5b25	PM	MID_LEVEL	Skill
 Analytics 	967ea6ca82ec5b25	PM	MID_LEVEL	Skill
 Data structures 	967ea6ca82ec5b25	PM	MID_LEVEL	Skill
 Development 	83f6d05725f68c36	PM	MID_LEVEL	Skill
 Development 	d7b7e41f4a21b26a	PM	MID_LEVEL	Skill
 Project Management 	d7b7e41f4a21b26a	PM	MID_LEVEL	Skill
 Testing 	d7b7e41f4a21b26a	PM	MID_LEVEL	Skill
 Analytics 	d7b7e41f4a21b26a	PM	MID_LEVEL	Skill
 Development 	f2da29d355dae096	PM	MID_LEVEL	Skill
 Agile 	f2da29d355dae096	PM	MID_LEVEL	Skill
