ef3cd132a774c61f	Calano & Associates	Software Systems Engineer - CONTINGENT UPON AWARD	Fort Meade, MD	SE_Test	MID_LEVEL	From $180,000 a year
96fb3b24a68402d5	Apple	Embedded Software Engineer	Austin, TX	SE_Test	MID_LEVEL	NA
946407418123f467	Reebelo	Senior Backend Engineer	Hybrid remote in San Francisco Bay Area, CA	SE_Test	MID_LEVEL	$160,000 - $200,000 a year
1fa6210abd15a42e	ManTech International Corporation	Junior Software Engineer	Herndon, VA	SE_Test	MID_LEVEL	$64,900 - $108,200 a year
d2affb0192a25332	AMETEK, Inc.	Software Engineer	Streetsboro, OH 44241	SE_Test	MID_LEVEL	NA
2fcced28d7d3e448	Spotline Inc	Sr. Java Full Stack Developer	Remote	SE_Test	MID_LEVEL	From $75 an hour
06a9a8e0750a5d0b	Microsoft	Software Engineer 2	Redmond, WA 98052 (Overlake area)	SE_Test	MID_LEVEL	$94,300 - $182,600 a year
62f6f8bfbae05c76	Horizon Softech Inc	Junior Java Developer	Waukesha, WI 53186	SE_Test	MID_LEVEL	Up to $45 an hour
b2c14ef5c3d77b9d	Actalent Services	Vehicle Software Integration Engineer	Portland, OR 97217 (Overlook area)	SE_Test	MID_LEVEL	$40 - $50 an hour
878993a9d68849f2	TreviPay	Software Engineer III	Remote in Overland Park, KS	SE_Test	MID_LEVEL	NA
3f687d1a85db18fd	Amazon.com Services LLC	Publisher Technologies Front End Engineer, Amazon	Austin, TX	SE_Test	MID_LEVEL	NA
1d90e0ba639cd039	ASRC Federal Holding Company	Software Developer	Huntsville, AL 35806	SE_Test	MID_LEVEL	NA
fe87eb5fe8f3ac32	BuzzClan LLC	Back End Developer	Dallas, TX 75204 (Deep Ellum area)	SE_Test	MID_LEVEL	$70 an hour
c661960e27d73457	Synergy Solutions	Software Engineer	Cambridge, MA	SE_Test	MID_LEVEL	$65 - $80 an hour
591a432099f84a9e	Apple	Software Engineer, Enterprise Technology Services	Austin, TX	SE_Test	MID_LEVEL	NA
5e4632b448eeb8a3	Morgan Stanley	Front-End Web Developer	New York, NY 10036 (Midtown area)	SE_Test	MID_LEVEL	NA
c31e50290d5e776a	JPMorgan Chase & Co	Full Stack Software Engineer II - Cloud	Columbus, OH 43240 (Polaris area)	SE_Test	MID_LEVEL	NA
dec888c9a121a0f3	Silco Fire & Security	Senior Full Stack Software Developer	Cincinnati, OH 45241	SE_Test	MID_LEVEL	NA
99f94c3a383483b0	Verizon	Senior Engineer-Software Development	Remote in Irving, TX	SE_Test	MID_LEVEL	NA
7ba175c90bb16884	Johns Hopkins University	Software Engineer	Baltimore, MD 21209 (Mount Washington area)	SE_Test	MID_LEVEL	$72,600 - $127,000 a year
3650c62b54ab511b	Two Point Conversions, Inc	Software Engineer	Remote	SE_Test	MID_LEVEL	$80,000 - $85,000 a year
8a706197407b950b	Johns Hopkins University	Software Engineer	Hybrid remote in Baltimore, MD 21211	SE_Test	MID_LEVEL	$72,600 - $127,000 a year
c74cafd019c02634	FrankCrum	Software Development Manager	Clearwater, FL 33756	SE_Test	MID_LEVEL	NA
e5f379856d9baa6e	Apple	Cloud Software Engineer, LINK Engineering Enterprise Systems	Austin, TX	SE_Test	MID_LEVEL	NA
1be5621a55defe60	AMATROL	Front-End Developer (On-Site)	Jeffersonville, IN 47130	SE_Test	MID_LEVEL	$40,000 - $60,000 a year
7eb0c24303f958e7	JPMorgan Chase & Co	Software Engineer	Wilmington, DE 19807	SE_Test	MID_LEVEL	NA
5a7d162b20ca8a0e	ManTech International Corporation	Entry Level CNO Developer	Aurora, CO	SE_Test	MID_LEVEL	$60,000 - $99,700 a year
de8c8c88a3bef5e2	USAA	Software Engineer - Intermediate Level	Hybrid remote in Plano, TX 75024	SE_Test	MID_LEVEL	NA
3c02fc80d14396a4	Expedia Group	Software Development Engineer II - ServiceNow HRSD	Seattle, WA 98119 (Interbay area)	SE_Test	MID_LEVEL	NA
22793f73a7a29616	CIBERSQL,LLC	Senior Angular Developer	Remote	SE_Test	MID_LEVEL	$110,000 - $115,000 a year
72f9ef554c005249	Marketlab Inc.	APPLICATION DEVELOPER - Marketlab Inc.	Caledonia, MI 49316	SE_Test	MID_LEVEL	NA
cd35b1d31e643595	Silco Fire & Security	Junior Full Stack Software Developer	Cincinnati, OH 45241	SE_Test	MID_LEVEL	NA
be6b453facd0697c	Coherent Solutions	Front End Developer (Property Management sphere)	Hybrid remote in Georgia	SE_Test	MID_LEVEL	NA
374e10679a4611e5	Disney Parks, Experiences and Products	Senior Software Engineer	Orlando, FL	SE_Test	MID_LEVEL	NA
8eb872bcf4c2469f	Zwicker & Associates	Software Engineer	Andover, MA 01810	SE_Test	MID_LEVEL	$75,000 - $80,000 a year
ac0714709e69e9c7	Accede LLC	Full Stack Developer (PHP)	Knoxville, TN	SE_Test	MID_LEVEL	Up to $130,000 a year
62346f23deedad00	General Dynamics Mission Systems	Embedded Software Engineer	Dedham, MA 02026 (Oakdale area)	SE_Test	MID_LEVEL	$120,000 - $170,000 a year
df32425787630fd7	JPMorgan Chase & Co	Software Engineer III - Java Full Stack / AWS, Snowflake	Plano, TX 75024	SE_Test	MID_LEVEL	NA
c26759e654d80971	GOMACO Corporation	Software Developer/IT Support Technician	Ida Grove, IA	SE_Test	MID_LEVEL	NA
e1fcc8a90405ec9e	iXoop Info Tech	Software Development Engineer	Newark, CA 94560	SE_Test	MID_LEVEL	$65 - $75 an hour
