0f05c2ba6072b6b1	M/E Engineering	Mechanical Senior Engineer	Rochester, NY 14606	ME	SENIOR_LEVEL	$87,360 - $120,000 a year
49409584cb869c27	Black & Veatch Corporation	Senior Mechanical Engineer - HVAC/Plumbing - Hybrid	Hybrid remote in Jacksonville, FL	ME	SENIOR_LEVEL	Estimated $111K - $141K a year
045ffde8c8a7fb3b	Relativity Space	Senior Mechanical Engineer	Long Beach, CA	ME	SENIOR_LEVEL	$127,000 - $163,000 a year
210646937fcbbace	Milwaukee County	Sr Mechanical Engineer	Milwaukee, WI 53226 (Zoo area)	ME	SENIOR_LEVEL	$93,579.20 - $111,280.00 a year
70aeedc7a58a1a25	Honeywell	Radar-Senior Advanced Mechanical Design Engineer	Phoenix, AZ 85027 (Deer Valley area)	ME	SENIOR_LEVEL	Estimated $111K - $140K a year
b8f3614d0c8c9f63	Syska Hennessy Group	Senior Mechanical Engineer	Tampa, FL	ME	SENIOR_LEVEL	Estimated $117K - $148K a year
e3560e3921649d64	The Wise Seeker Services	Senior Mechanical Design Engineer	Shelby Charter Township, MI	ME	SENIOR_LEVEL	Estimated $105K - $133K a year
25754aaead7d614f	TheWiseSeeker	Senior Mechanical Design Engineer	Shelby, NC	ME	SENIOR_LEVEL	$80,000 - $110,000 a year
5ea17fac91de353a	CEDENT	Mechanical Engineer	Greenwood Village, CO	ME	SENIOR_LEVEL	Estimated $93.5K - $118K a year
734960373ae30e1e	Southwest Research Institute	RESEARCH ENGINEER - SR. RESEARCH ENGINEER - Spaceflight Mechanical Systems	San Antonio, TX 78238	ME	SENIOR_LEVEL	NA
f305f344fb91c295	KFI Engineers PC	Senior Mechanical Engineer-Commercial	Fargo, ND 58102	ME	SENIOR_LEVEL	Estimated $116K - $147K a year
2de4af20effd79b7	NAL RESEARCH CORP	Sr. RF Engineer	Manassas, VA 20109	ME	SENIOR_LEVEL	$130,000 - $170,000 a year
7fe65e4fb3b8e972	Mead & Hunt	Project Manager	Denver, CO 80202 (Lodo area)	ME	SENIOR_LEVEL	$135,000 - $145,000 a year
4e7a335537ad84a2	Worley	Practice Lead, Marine Terminals	Baton Rouge, LA	ME	SENIOR_LEVEL	NA
8aee4cad0081ee3a	True Velocity	Sr. Product Development Engineer	Garland, TX 75042	ME	SENIOR_LEVEL	Estimated $88.8K - $112K a year
db5f3a4c16d89115	BuzzClan LLC	Manufacturing Engineer	Durham, NC 27707 (Forest Hills area)	ME	SENIOR_LEVEL	Up to $100,000 a year
b35f1159bcc61f89	Southwest Research Institute	LEAD ENGINEER - SR. RESEARCH ENGINEER - Spaceflight Mechanical Systems	San Antonio, TX 78238	ME	SENIOR_LEVEL	NA
8264009f895f3662	RS&H	Senior Noise Specialist	Charlotte, NC 28203 (Dilworth area)	ME	SENIOR_LEVEL	Estimated $83.1K - $105K a year
dfa6daaf885f3189	Engendren	Quality Process Engineer	Kenosha, WI 53144	ME	SENIOR_LEVEL	$69,344.16 - $83,511.25 a year
3343e3316d0dfb21	KFI Engineers PC	Senior Project Manager (Mechanical Engineer)	Cincinnati, OH 45202 (Mount Adams area)	ME	SENIOR_LEVEL	Estimated $111K - $140K a year
18815bd3a6d31d83	Amkor Technology, Inc.	Sr. Engineer/Manager, FCBGA BU	Tempe, AZ	ME	SENIOR_LEVEL	Estimated $91.5K - $116K a year
a83bee94471cccad	Solenis LLC	Senior Engineering Project Manager	United States	ME	SENIOR_LEVEL	Estimated $108K - $136K a year
acf6487f0f17bc72	ASML	Senior Controls Engineer	Hybrid remote in San Diego, CA	ME	SENIOR_LEVEL	Estimated $110K - $139K a year
09948fde34b5aa3f	WSP	Senior Mechanical Engineer	Phoenix, AZ 85034 (Central City area)	ME	SENIOR_LEVEL	$120,000 - $150,000 a year
2df1a7e652211c04	KFI Engineers PC	Senior Project Manager-Commercial	Minnetonka, MN 55305	ME	SENIOR_LEVEL	Estimated $114K - $145K a year
6df3d7d6ed9c2ef0	KFI Engineers PC	Senior Mechanical Engineer	Scottsdale, AZ 85254 (Paradise Valley area)	ME	SENIOR_LEVEL	Estimated $102K - $129K a year
3db3097b58d7011d	Solenis LLC	Senior Engineering Project Manager	Suffolk, VA 23434	ME	SENIOR_LEVEL	Estimated $120K - $152K a year
9681f73ed43169c7	NAL RESEARCH CORP	Sr. RF Engineer	Manassas, VA 20109	ME	SENIOR_LEVEL	Estimated $105K - $133K a year
7ebb5956253ed223	Solenis LLC	Senior Engineering Project Manager	Charleston, WV	ME	SENIOR_LEVEL	Estimated $109K - $138K a year
686a044c00cd06e6	Northrop Grumman	Principal/Sr. Principal Integration and Test ME Lead – GPI Program	Chandler, AZ 85286	ME	SENIOR_LEVEL	$92,600 - $139,000 a year
58c9a412cd326564	KFI Engineers PC	Senior Project Manager-Commercial	Saint Paul, MN 55113	ME	SENIOR_LEVEL	Estimated $114K - $145K a year
f271fae46a75e944	ProTom International Holding Corp	Principal Mechanical Engineer	Hybrid remote in North Reading, MA 01864	ME	SENIOR_LEVEL	$130,000 - $195,000 a year
859d8bcc3045e858	Strategic Energy Solutions	Senior Mechanical Engineer	Hybrid remote in Berkley, MI 48072	ME	SENIOR_LEVEL	$110,000 - $130,000 a year
3c9c58cba7430926	Acara Solutions	Mechanical Engineers / Semiconductor Equipment Engineers - Urgent Need	Tualatin, OR	ME	SENIOR_LEVEL	$75 - $80 an hour
e8c91d40520f7afd	Acara Solutions	Mechanical Design Engineer - Urgently Needed	Tualatin, OR 97062	ME	SENIOR_LEVEL	Up to $80 an hour
659c501fa01af0e7	Seakeeper Inc	Senior Mechanical Development Engineer	Hybrid remote in Leesport, PA 19533	ME	SENIOR_LEVEL	Estimated $93.9K - $119K a year
7f13bede4a4bbcdc	Three Saints Bay, LLC	Mechanical Engineer III (3655)	Virginia Beach, VA	ME	SENIOR_LEVEL	Estimated $95.2K - $121K a year
45f92d15c54c8bb7	InnovaQuartz LLC	Mechanical Engineer, R&D	Phoenix, AZ 85027 (Deer Valley area)	ME	SENIOR_LEVEL	$50,000 - $65,000 a year
cb5dfea2e751faca	Comtec Information System	Senior Systems Verification and Validation Engineer	Pittsburgh, PA 15206 (Shadyside area)	ME	SENIOR_LEVEL	From $50 an hour
4c4aeca4a134e48a	Square Robot	Senior MECHANICAL engineer	Marlborough, MA	ME	SENIOR_LEVEL	Estimated $106K - $134K a year
3650badd8dbc41df	LCRA	Mechanical Engineer Sr - Hydroelectric Generation	Hybrid remote in Austin, TX 78703	ME	SENIOR_LEVEL	$110,300 - $138,000 a year
9b92d999e5f541b1	Jacobs	Sr. Mechanical Design & Stress Engineer	Hybrid remote in Huntsville, AL 35802	ME	SENIOR_LEVEL	Estimated $116K - $146K a year
5474067a0eb028bf	Simplified HR	Engine Performance Calibration Engineer	Peoria, IL	ME	SENIOR_LEVEL	From $153,850 a year
3a347fd053bd9245	L3Harris Technologies	Sr Assoc, Mechanical Engrg (Fort Wayne)	Fort Wayne, IN 46818	ME	SENIOR_LEVEL	Estimated $84.6K - $107K a year
af52c1020fc63020	CECO Environmental	Sr. Engineer, Mechanical	Wexford, PA 15090	ME	SENIOR_LEVEL	Estimated $94.2K - $119K a year
f41a2216ea147649	Baker Hughes	Sr Engineer CTH - Mechanical Component	Boston, MA 02108 (Back Bay-Beacon Hill area)	ME	SENIOR_LEVEL	NA
8f94ad3b9e0d2794	Olsson	Senior Mechanical Engineer - Data Center	Lincoln, NE 68508	ME	SENIOR_LEVEL	Estimated $100K - $127K a year
a1cf2f8dae2d8c02	Groe Advisors LLC	Sr Principal Mechanical Engineer	Waltham, MA	ME	SENIOR_LEVEL	From $160,000 a year
f515029f3439714a	Burns & McDonnell	Senior Mechanical Fueling Engineer - Aviation & Federal (Honolulu)	Honolulu, HI	ME	SENIOR_LEVEL	Estimated $118K - $150K a year
5ca27eed9271de04	Central Hudson	Sr Transmission Operator	Poughkeepsie, NY	ME	SENIOR_LEVEL	$109,200 - $163,800 a year
1b3907d14e015c1c	Infoservices LLc	Manufacturing Engineer (Aerospace)	Durham, NC 27701	ME	SENIOR_LEVEL	$90,000 - $100,000 a year
4ee2a3d2e559e24c	TUDI Mechanical Systems	Mechanical Engineer	Pittsburgh, PA	ME	SENIOR_LEVEL	NA
4e3077f19307aaf9	NV5	Senior Mechanical Engineer (Hybrid)	Hybrid remote in Andover, MA 01810	ME	SENIOR_LEVEL	Estimated $125K - $159K a year
