count	employer_name	employer_url	category_code	category_code
407	MICROSOFT CORPORATION	/h1b-sponsors/microsoft-corporation-ew2x79yyk3	PM
189	GOOGLE LLC	/h1b-sponsors/google-llc-em2mg7pj21	PM
94	META PLATFORMS INC	/h1b-sponsors/meta-platforms-inc-w2xp7xj6k3	PM
20	EXPEDIA INC	/h1b-sponsors/expedia-inc-g06661410q	PM
16	NVIDIA CORPORATION	/h1b-sponsors/nvidia-corporation-g10164e6k7	PM
16	INTUIT INC	/h1b-sponsors/intuit-inc-560d7wzw08	PM
13	HEWLETT PACKARD ENTERPRISE COMPANY	/h1b-sponsors/hewlett-packard-enterprise-company-rd0g8zyy2o	PM
12	DOORDASH INC	/h1b-sponsors/doordash-inc-5g2rn9l60l	PM
12	ADOBE INC	/h1b-sponsors/adobe-inc-okprzlrn24	PM
11	BYTEDANCE INC	/h1b-sponsors/bytedance-inc-m2m6jrj401	PM
11	VMWARE INC	/h1b-sponsors/vmware-inc-nokp1pgzk4	PM
11	FORD MOTOR COMPANY	/h1b-sponsors/ford-motor-company-pg27zdmpk5	PM
10	UBER TECHNOLOGIES INC	/h1b-sponsors/uber-technologies-inc-510jn3812v	PM
9	WAYMO LLC	/h1b-sponsors/waymo-llc-8r0vwnvj21	PM
9	CUMMINS INC	/h1b-sponsors/cummins-inc-370oq79nkz	PM
8	EPITEC INC	/h1b-sponsors/epitec-inc-pg27mz7q25	PM
8	AIRBNB INC	/h1b-sponsors/airbnb-inc-8r0v6v69k1	PM
7	VISA USA INC	/h1b-sponsors/visa-usa-inc-op0lw9gmkl	PM
7	INTERNATIONAL BUSINESS MACHINES CORPORATION	/h1b-sponsors/international-business-machines-corporation-okprg6eq24	PM
7	LINKEDIN CORPORATION	/h1b-sponsors/linkedin-corporation-d1k9mo9q0m	PM
5	THERMO FISHER SCIENTIFIC INC	/h1b-sponsors/thermo-fisher-scientific-inc-x30qoz182q	PM
5	LYFT INC	/h1b-sponsors/lyft-inc-82wr1njlk1	PM
5	VIAGOGO INC	/h1b-sponsors/viagogo-inc-vx236jeg2g	PM
5	NIKE INC	/h1b-sponsors/nike-inc-dvk4vxogkw	PM
5	JPMORGAN CHASE & CO	/h1b-sponsors/jpmorgan-chase-and-co-5g2r7gdekl	PM
5	SPLUNK INC	/h1b-sponsors/splunk-inc-d1k9drow0m	PM
4	ZYNGA INC	/h1b-sponsors/zynga-inc-510jvgd50v	PM
4	LEXISNEXIS RISK SOLUTIONS FL INC	/h1b-sponsors/lexisnexis-risk-solutions-fl-inc-em2m4xp921	PM
4	DATAHGURUS BUSINESS SOLUTIONS	/h1b-sponsors/datahgurus-business-solutions-1kzn4897km	PM
