 Testing 	a64d0ec0a938370a	PJM	MID_LEVEL	Skill
 Development 	a64d0ec0a938370a	PJM	MID_LEVEL	Skill
 Communication 	f0212e022fb7b12b	PJM	MID_LEVEL	Skill
 Leadership 	f0212e022fb7b12b	PJM	MID_LEVEL	Skill
 Microsoft Suite 	f0212e022fb7b12b	PJM	MID_LEVEL	Tool
 Project Management 	7279be2bda2d3282	PJM	MID_LEVEL	Skill
 Development 	7279be2bda2d3282	PJM	MID_LEVEL	Skill
 Communication 	d530bcf824089d73	PJM	MID_LEVEL	Skill
 Collaboration 	044bee67d4ce3711	PJM	MID_LEVEL	Skill
 Project Management 	2c356c49f74668da	PJM	MID_LEVEL	Skill
 Agile 	2c356c49f74668da	PJM	MID_LEVEL	Skill
 Adaptability 	2c356c49f74668da	PJM	MID_LEVEL	Skill
 Communication 	2c356c49f74668da	PJM	MID_LEVEL	Skill
 Development 	2c356c49f74668da	PJM	MID_LEVEL	Skill
 Documentation 	2c356c49f74668da	PJM	MID_LEVEL	Skill
 Analytics 	1e123748be9902f7	PJM	MID_LEVEL	Skill
 Communication 	1e123748be9902f7	PJM	MID_LEVEL	Skill
 Collaboration 	1e123748be9902f7	PJM	MID_LEVEL	Skill
 Testing 	59c5e3c7812f6577	PJM	MID_LEVEL	Skill
 Project Management 	59c5e3c7812f6577	PJM	MID_LEVEL	Skill
 Agile 	59c5e3c7812f6577	PJM	MID_LEVEL	Skill
 Software Development 	59c5e3c7812f6577	PJM	MID_LEVEL	Skill
 Scrum 	59c5e3c7812f6577	PJM	MID_LEVEL	Skill
 Development 	59c5e3c7812f6577	PJM	MID_LEVEL	Skill
 Leadership 	59c5e3c7812f6577	PJM	MID_LEVEL	Skill
 Project Management 	120678aa34d15c6c	PJM	MID_LEVEL	Skill
 Leadership 	120678aa34d15c6c	PJM	MID_LEVEL	Skill
 Conflict Resolution 	120678aa34d15c6c	PJM	MID_LEVEL	Skill
 Project Management 	09f9ff6d04a6ea5d	PJM	MID_LEVEL	Skill
 Communication 	09f9ff6d04a6ea5d	PJM	MID_LEVEL	Skill
 Documentation 	09f9ff6d04a6ea5d	PJM	MID_LEVEL	Skill
 Project Management 	8a3cb01eb29f9517	PJM	MID_LEVEL	Skill
 Project Management 	4cf8b3631df2fd71	PJM	MID_LEVEL	Skill
 Coding 	4cf8b3631df2fd71	PJM	MID_LEVEL	Skill
 Microsoft Office 	4cf8b3631df2fd71	PJM	MID_LEVEL	Tool
 Project Management 	571ff0d116cfded6	PJM	MID_LEVEL	Skill
 Leadership 	571ff0d116cfded6	PJM	MID_LEVEL	Skill
 Conflict Resolution 	571ff0d116cfded6	PJM	MID_LEVEL	Skill
 Analytics 	6271274838d7d0fc	PJM	MID_LEVEL	Skill
 Communication 	6271274838d7d0fc	PJM	MID_LEVEL	Skill
 SAP 	6271274838d7d0fc	PJM	MID_LEVEL	Tool
 Web Development 	39d1f1cd2af148a9	PJM	MID_LEVEL	Skill
 Project Management 	39d1f1cd2af148a9	PJM	MID_LEVEL	Skill
 Development 	39d1f1cd2af148a9	PJM	MID_LEVEL	Skill
 Project Management 	0265843fdbe68a9e	PJM	MID_LEVEL	Skill
 Agile 	0265843fdbe68a9e	PJM	MID_LEVEL	Skill
 Communication 	0265843fdbe68a9e	PJM	MID_LEVEL	Skill
 Collaboration 	0265843fdbe68a9e	PJM	MID_LEVEL	Skill
 Microsoft Office 	0265843fdbe68a9e	PJM	MID_LEVEL	Tool
 Excel 	0265843fdbe68a9e	PJM	MID_LEVEL	Tool
 Powerpoint 	0265843fdbe68a9e	PJM	MID_LEVEL	Tool
 Project Management 	35fe1e5e75f46664	PJM	MID_LEVEL	Skill
 Adaptability 	35fe1e5e75f46664	PJM	MID_LEVEL	Skill
 Development 	35fe1e5e75f46664	PJM	MID_LEVEL	Skill
 Microsoft Office 	35fe1e5e75f46664	PJM	MID_LEVEL	Tool
 Scrum 	a4ece0470532d808	PJM	MID_LEVEL	Skill
 Development 	a4ece0470532d808	PJM	MID_LEVEL	Skill
 Collaboration 	a4ece0470532d808	PJM	MID_LEVEL	Skill
 Leadership 	a4ece0470532d808	PJM	MID_LEVEL	Skill
 Project Management 	3a59cbc4ab07b31b	PJM	MID_LEVEL	Skill
 Project Management 	248aadd1d771126a	PJM	MID_LEVEL	Skill
 Communication 	248aadd1d771126a	PJM	MID_LEVEL	Skill
